レースID,年月日,レースNo,レース名,クラス,種別,距離,天候,状態,発走,競馬場,条件,
201606020711,2016年3月20日,11,第65回フジTVスプリングS,G2,芝右,1800,晴,良,15:45,2回中山7日目,3歳オープン(国際),
201606020811,2016年3月21日,11,第30回フラワーカップ,G3,芝右,1800,晴,良,15:45,2回中山8日目,3歳オープン(国際),
201606030111,2016年3月26日,11,第64回日経賞,G2,芝右,2500,晴,良,15:45,3回中山1日目,4歳以上オープン(国際)(指)(別定),
201606030211,2016年3月27日,11,第23回マーチステークス,G3,ダ右,1800,晴,良,15:30,3回中山2日目,4歳以上オープン(国際)(指)(ハンデ),
201606030411,2016年4月3日,11,第48回ダービー卿チャレンジ,G3,芝右 外,1600,曇,良,15:45,3回中山4日目,4歳以上オープン(国際)[指](ハンデ),
201606030511,2016年4月9日,11,第34回ニュージーランドT,G2,芝右 外,1600,曇,良,15:45,3回中山5日目,3歳オープン(国際),
201606030711,2016年4月16日,11,第18回中山グランドジャンプ,J.G1,障芝 外,4250,曇,良,15:40,3回中山7日目,障害4歳以上オープン(国際)(定量),
201606030811,2016年4月17日,11,第76回皐月賞,G1,芝右,2000,晴,良,15:40,3回中山8日目,3歳オープン(国際),
201606040111,2016年9月10日,11,第1回紫苑ステークス,G3,芝右,2000,晴,良,15:45,4回中山1日目,3歳オープン(国際),
201606040211,2016年9月11日,11,第61回京成杯オータムハンデ,G3,芝右 外,1600,曇,良,15:45,4回中山2日目,3歳以上オープン(国際)(特指)(ハンデ),
201606040411,2016年9月18日,11,第70回朝日セントライト記念,G2,芝右 外,2200,曇,良,15:45,4回中山4日目,3歳オープン(国際)(指)(馬齢),
201606040611,2016年9月25日,11,第62回産経賞オールカマー,G2,芝右 外,2200,曇,良,15:45,4回中山6日目,3歳以上オープン(国際)(指)(別定),
201606040811,2016年10月2日,11,第50回スプリンターズS,G1,芝右 外,1200,晴,良,15:40,4回中山8日目,3歳以上オープン(国際)(指)(定量),
201606050111,2016年12月3日,11,第50回ステイヤーズS,G2,芝右 内2周,3600,曇,良,15:25,5回中山1日目,3歳以上オープン(国際)(特指)(別定),
201606050411,2016年12月11日,11,第9回カペラステークス,G3,ダ右,1200,晴,良,15:20,5回中山4日目,3歳以上オープン(国際)(指)(別定),
201606050710,2016年12月23日,10,第139回中山大障害,J.G1,障芝,4100,曇,良,14:45,5回中山7日目,障害3歳以上オープン(国際)(定量),
